,noms
4680,2
4681,2
4682,2
4683,1
4685,1
4689,3
4690,7
4691,3
4695,7
4696,7
4697,3
4698,10
4703,1
4704,7
4705,7
4707,5
4708,1
4709,1
4710,1
4711,1
4712,1
4713,1
4714,1
4715,1
4716,1
4717,2
4720,2
4722,5
4723,1
4724,1
4725,1
4726,1
4732,2
4735,1
4739,2
4741,2
4748,1
4749,1
4750,1
4751,1
4752,2
4753,1
4759,1
4760,3
4762,1
4768,1
4773,3
4774,2
4775,4
4776,7
4777,10
4778,3
4779,1
4782,4
4784,4
4786,4
4787,1
4789,1
4790,10
4791,5
4792,10
4794,1
4796,4
4797,5
4799,10
4802,4
4804,2
4805,3
4806,1
4808,1
4813,1
4814,1
4815,1
4816,1
4817,3
4818,1
4819,1
4820,1
4821,1
4822,1
4827,3
4828,1
4829,1
4830,1
4831,1
4832,1
4834,2
4835,7
4837,1
4838,1
4839,1
4841,1
4843,3
4844,1
4846,1
4853,1
4854,1
4855,1
4856,1
4857,1
4858,1
4865,5
4869,5
4872,1
4874,1
4880,4
4881,8
4882,4
4883,2
4884,8
4885,8
4887,2
4888,8
4889,8
4890,1
4891,2
4893,5
4894,6
4895,1
4897,1
4899,1
4900,2
4901,5
4904,6
4905,8
4909,4
4911,1
4914,1
4915,4
4920,1
4921,1
4922,1
4923,1
4924,1
4925,1
4926,1
4927,1
4928,2
4929,1
4935,1
4936,1
4937,2
4938,1
4939,2
4942,2
4943,1
4944,4
4946,1
4949,1
4952,1
4954,2
4960,1
4961,1
4962,1
4963,1
4964,1
4966,1
4971,5
4972,1
4974,1
4976,2
4978,2
4979,1
4980,2
4984,11
4985,4
4987,1
4988,4
4989,2
4990,11
4992,10
4995,5
4996,4
4998,4
5000,3
5001,2
5002,1
5003,9
5008,3
5009,3
5012,1
5017,4
5020,3
5024,1
5025,1
5026,1
5027,1
5028,1
5029,1
5030,1
5031,1
5032,1
5033,1
5037,1
5039,1
5040,2
5041,1
5042,1
5043,1
5045,1
5046,1
5047,1
5052,1
5053,1
5054,1
5055,1
5056,9
5057,1
5058,10
5063,1
5064,1
5065,1
5066,1
5067,1
5068,1
5071,2
5079,2
5080,2
5082,1
5088,2
5089,3
5090,3
5091,2
5092,10
5093,1
5094,3
5095,3
5096,10
5099,5
5100,3
5101,6
5102,2
5104,5
5105,4
5106,4
5108,1
5110,10
5111,3
5113,5
5115,2
5118,5
5119,1
5128,1
5129,1
5130,1
5131,1
5132,1
5133,1
5134,1
5135,1
5136,1
5137,1
5139,1
5143,1
5144,1
5145,1
5146,1
5147,1
5149,2
5150,1
5151,5
5152,6
5153,1
5157,1
5158,1
5166,1
5167,1
5168,1
5169,1
5170,1
5171,1
5173,10
5174,3
5191,2
